numer,przebieg,zrodlo,uwagi
S8,"Warszawa – Radzymin – Wyszków – Ostrów Mazowiecka – Białystok; w gminie obwodnica Wyszkowa oddana w 2008 r.",bip-gmina,"W BDOT10k odcinki w gminie noszą numer szlaku europejskiego E67."
E67,"Szlak europejski Via Baltica pokrywający się z S8 na odcinku przez gminę.",bdot10k,"Numer szlaku, nie odrębna droga — zarządcą jest GDDKiA jak dla S8."
62,"Strzelno – Płock – Wyszków – Węgrów – Siemiatycze; przez Wyszków biegnie ulicami miasta.",bdot10k,"Droga krajowa nr 62."
618,"Gołymin-Ośrodek – Pułtusk – Wyszków; klasa G.",bdot10k,"Droga wojewódzka nr 618, obsługiwana przez Rejon Drogowy Wołomin – Nowy Dwór Mazowiecki."
4403W,"Wyszków – Brańszczyk – Długosiodło",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4406W,"od DK nr 62 – Kamieńczyk – Puste Łąki",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4413W,"Wola Mystkowska – Kozłowo – Ostrowy",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4414W,"Wyszków – Popowo Kościelne",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4417W,"Kręgi – Olszanka",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4418W,"Rybno – Gulczewo",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
4419W,"Wyszków – Drogoszewo – Ślubów",bip-gmina,"Wykaz dróg powiatowych, BIP Gminy Wyszków."
