kod,nazwa,typ,podstawa_prawna,jednostka,adres,telefon,email,www,uwagi
gddkia-warszawa,"Generalny Dyrektor Dróg Krajowych i Autostrad",krajowy,"art. 19 ust. 2 pkt 1 ustawy o drogach publicznych","GDDKiA Oddział w Warszawie","ul. Mińska 25, 03-808 Warszawa",,,"https://www.gov.pl/web/gddkia","Drogi krajowe i ekspresowe. Dane teleadresowe oddziału do potwierdzenia przed użyciem w korespondencji."
mzdw,"Zarząd Województwa Mazowieckiego",wojewodzki,"art. 19 ust. 2 pkt 2 ustawy o drogach publicznych","Mazowiecki Zarząd Dróg Wojewódzkich w Warszawie, Rejon Drogowy Wołomin – Nowy Dwór Mazowiecki","ul. Mazowiecka 14, 00-048 Warszawa",,,"https://mzdw.pl/","Wykaz dróg wojewódzkich: mzdw.pl/pl/strona/wykaz-drog-wojewodzkich"
zarzad-powiatu-wyszkowskiego,"Zarząd Powiatu Wyszkowskiego",powiatowy,"art. 19 ust. 2 pkt 3 ustawy o drogach publicznych","Wydział Inwestycji i Dróg Publicznych Starostwa Powiatowego w Wyszkowie","Aleja Róż 2, 07-200 Wyszków","29 743 59 00","starostwo@powiat-wyszkowski.pl","https://www.powiat-wyszkowski.pl/","Powiat nie powołał Zarządu Dróg Powiatowych — obowiązki zarządu drogi wykonuje Zarząd Powiatu, obsługiwany przez wydział starostwa."
burmistrz-wyszkowa,"Burmistrz Wyszkowa",gminny,"art. 19 ust. 2 pkt 4 ustawy o drogach publicznych","Urząd Miejski w Wyszkowie","Aleja Róż 2, 07-200 Wyszków","29 742 42 01","gmina@wyszkow.pl","https://www.wyszkow.pl/","Drogi gminne zaliczone uchwałą Rady Miejskiej; numery nadaje Zarząd Województwa Mazowieckiego."
gmina-wyszkow-wlasciciel,"Gmina Wyszków jako właściciel terenu",wewnetrzny,"art. 8 ust. 2 ustawy o drogach publicznych","Urząd Miejski w Wyszkowie","Aleja Róż 2, 07-200 Wyszków","29 742 42 01","gmina@wyszkow.pl","https://www.wyszkow.pl/","Drogi wewnętrzne na działkach gminnych — nie mają kategorii, zarządcą jest właściciel."
nadlesnictwo-wyszkow,"Nadleśnictwo Wyszków (Lasy Państwowe)",lesny,"art. 8 ust. 2 ustawy o drogach publicznych",,,,,"https://wyszkow.warszawa.lasy.gov.pl/","Drogi leśne."
pkp-plk,"PKP Polskie Linie Kolejowe S.A.",kolejowy,,,,,,"https://www.plk-sa.pl/","Drogi i przejazdy w obrębie terenów kolejowych."
kowr,"Krajowy Ośrodek Wsparcia Rolnictwa",inny,"art. 8 ust. 2 ustawy o drogach publicznych",,,,,"https://www.kowr.gov.pl/","Drogi na gruntach Zasobu Własności Rolnej Skarbu Państwa."
skarb-panstwa,"Skarb Państwa — Starosta Wyszkowski",inny,"art. 8 ust. 2 ustawy o drogach publicznych","Wydział Geodezji Starostwa Powiatowego w Wyszkowie","Aleja Róż 2, 07-200 Wyszków",,,"https://www.powiat-wyszkowski.pl/","Drogi na działkach Skarbu Państwa poza zarządem innych podmiotów."
wlasciciel-prywatny,"Właściciel prywatny / wspólnota / deweloper",prywatny,"art. 8 ust. 2 ustawy o drogach publicznych",,,,,,"Wymaga ustalenia z ewidencji gruntów i budynków."
nieustalony,"Zarządca nieustalony",inny,,,,,,,"Rekord do domknięcia — sprawdź właściciela działki w EGiB."
